,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
604,2013,San Benito,171,56669,0.0030175228078843813
605,2013,San Bernardino,8133,2076274,0.0039171130592590385
606,2013,San Diego,8471,3150178,0.0026890543962912574
607,2013,San Joaquin,2537,698414,0.0036325159575838974
608,2013,San Luis Obispo,589,272177,0.002164032963843381
609,2013,San Mateo,1207,735678,0.0016406634424299762
610,2013,Santa Barbara,1174,429200,0.0027353215284249767
611,2013,Santa Clara,3505,1842254,0.0019025606675301017
612,2013,Santa Cruz,650,266662,0.0024375426569964976
613,2013,Shasta,392,178601,0.0021948365350697926
614,2013,Sierra,14,3166,0.004421983575489577
615,2013,Siskiyou,201,44796,0.004487007768550763
616,2013,Solano,1497,418387,0.0035780270419492003
617,2013,Sonoma,1236,490423,0.0025202733150769844
618,2013,Stanislaus,2104,524124,0.00401431722264197
619,2013,Sutter,337,95851,0.003515873595476312
620,2013,Tehama,239,63772,0.003747726274854168
621,2013,Trinity,70,13443,0.0052071710183738745
622,2013,Tulare,1821,455599,0.003996935901966423
623,2013,Tuolumne,132,54360,0.0024282560706401766
624,2013,Ventura,1808,835436,0.0021641394433565228
625,2013,Yolo,570,205999,0.0027670037233190454
626,2013,Yuba,407,73439,0.005542014460981222
627,2014,Alameda,3491,1573254,0.0022189678208350337
628,2014,Alpine,5,1079,0.004633920296570899
629,2014,Amador,75,36151,0.0020746314071533292
630,2014,Butte,648,222316,0.0029147699670738947
631,2014,Calaveras,180,44650,0.004031354983202688
632,2014,Colusa,81,21660,0.003739612188365651
633,2014,Contra Costa,2411,1087008,0.00221801495481174
634,2014,Del Norte,173,28131,0.006149799153958266
635,2014,El Dorado,457,182404,0.0025054275125545493
636,2014,Fresno,4280,964040,0.004439649807061948
637,2014,Glenn,92,28353,0.00324480654604451
638,2014,Humboldt,492,134648,0.0036539718376804703
639,2014,Imperial,571,180672,0.0031604233085370174
640,2014,Inyo,83,18590,0.004464766003227542
641,2014,Kern,4005,873092,0.004587145455461739
642,2014,Kings,543,150181,0.0036156371311950246
643,2014,Lake,294,64699,0.004544119692730954
644,2014,Lassen,105,32581,0.0032227371781099415
645,2014,Los Angeles,28251,10041797,0.00281334107829505
646,2014,Madera,457,153897,0.0029695185741112563
647,2014,Marin,472,255846,0.0018448597984725187
648,2014,Mariposa,59,18467,0.003194888178913738
649,2014,Mendocino,401,89029,0.00450415033303755
650,2014,Merced,896,264922,0.0033821275696242666
651,2014,Modoc,58,9197,0.006306404262259433
652,2014,Mono,33,14143,0.002333309764547833
653,2014,Monterey,1340,425756,0.0031473426093818996
654,2014,Napa,397,139255,0.0028508850669634843
655,2014,Nevada,207,97225,0.002129082026227822
656,2014,Orange,5307,3113991,0.001704243846562177
657,2014,Placer,703,366115,0.0019201616978271854
