Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Shasta,2005,16979868,19226663,3777024
Sierra,2005,1911210,813037,569061
Siskiyou,2005,8927350,9198238,852808
Solano,2005,47758693,38524705,5183775
Sonoma,2005,49278344,39436489,15476813
Stanislaus,2005,36490435,50952365,5384446
Sutter,2005,6470590,19121388,0
Tehama,2005,5903546,5685419,1451259
Trinity,2005,2273188,2044515,892907
Tulare,2005,30816113,36216327,8534292
Tuolumne,2005,8601346,4741845,795615
Ventura,2005,104381340,42613642,14923024
Yolo,2005,7395392,13350366,3781258
Yuba,2005,7811098,0,0
Alameda,2006,81348525,188246300,22671064
Alpine,2006,1824346,225219,392358
Amador,2006,7216485,2326993,1138366
Butte,2006,13132496,32159189,3723555
Calaveras,2006,7510083,2436065,1112014
Colusa,2006,3958466,1686608,768790
Contra Costa,2006,85671379,98072121,16005443
Del Norte,2006,3007230,3649129,714028
El Dorado,2006,26915121,10711577,2670054
Fresno,2006,72531821,58990322,17970186
Glenn,2006,4540145,5673499,1336457
Humboldt,2006,10458033,24959538,2508299
Imperial,2006,15577722,14704715,2165164
Inyo,2006,4346932,2450007,705794
Kern,2006,68049778,72924946,12653368
Kings,2006,11522384,8840646,1965999
Lake,2006,9382078,8225610,3046563
Lassen,2006,3166718,3560738,1501054
Los Angeles,2006,1183067562,1036582033,177132081
Madera,2006,9414271,8245767,1641507
Marin,2006,20801838,27124322,6594682
Mariposa,2006,4068260,1469748,875849
Mendocino,2006,9499019,13767983,2387477
Merced,2006,13718795,17684556,3410155
Modoc,2006,1695419,1924889,933902
Mono,2006,4079039,2253548,0
Monterey,2006,34320044,38161844,5373322
Napa,2006,17541037,13807496,4472289
Nevada,2006,11438550,7209068,1679531
Orange,2006,276371743,150787001,40451886
Placer,2006,45127633,26419835,0
Plumas,2006,6587170,2624215,1318273
Riverside,2006,258658868,102128820,23666664
Sacramento,2006,218112598,33544361,24378062
San Benito,2006,4671871,2643387,564610
San Bernardino,2006,237661535,113837385,17012813
San Diego,2006,201202350,216116031,49064866
San Joaquin,2006,45355699,60681081,10686269
San Luis Obispo,2006,25253764,24520362,4981828
San Mateo,2006,65967250,82433518,15723796
Santa Barbara,2006,50712177,54104303,9734232
Santa Clara,2006,101873567,204988378,39869546
Santa Cruz,2006,22548953,42996437,6445159
Shasta,2006,16927298,20552539,3795196
Sierra,2006,2547699,647754,429399
Siskiyou,2006,9076228,10782605,855604
Solano,2006,55512992,41446602,5194914
Sonoma,2006,55378392,43440644,15861305
Stanislaus,2006,38118246,53525366,5451626
Sutter,2006,6361202,20612210,0
Tehama,2006,6469783,6401698,1703919
Trinity,2006,2315061,2306775,955962
Tulare,2006,32355909,39414738,8870897
Tuolumne,2006,9338208,5934869,803671
Ventura,2006,115381828,46407847,14197814
Yolo,2006,8333117,17317935,3127722
Yuba,2006,8972610,0,0
Alameda,2007,106867280,194606813,24112330
Alpine,2007,2106032,310739,305294
Amador,2007,7431677,2703316,1205738
Butte,2007,15391145,33997468,3902183
Calaveras,2007,8163738,2791232,1097360
Colusa,2007,4289296,3265062,805161
Contra Costa,2007,95772659,101190853,15536002
Del Norte,2007,3283621,4668141,640795
El Dorado,2007,29867660,13514400,2578307
Fresno,2007,82596573,53864848,17818677
Glenn,2007,5422948,5946544,1407862
Humboldt,2007,12464901,25214433,2608901
Imperial,2007,18726350,16039196,2224116
Inyo,2007,4857341,2890385,636906
Kern,2007,73304055,78475385,11790292
Kings,2007,12777546,9625666,1868082
Lake,2007,9715320,9048057,3390897
Lassen,2007,3459167,3821704,1574138
Los Angeles,2007,1328392241,1121004634,175719160
Madera,2007,11565693,10615874,1824946
Marin,2007,25234289,29708867,7853078
Mariposa,2007,4312447,1806708,875420
Mendocino,2007,9725087,17063663,2579412
Merced,2007,16255620,18180676,3593347
Modoc,2007,1856875,1521050,942567
Mono,2007,4175425,1690390,1013639
Monterey,2007,35138888,46697746,5570329
Napa,2007,20716983,15717963,4894634
Nevada,2007,12287428,7047587,1642874
Orange,2007,278462392,178682044,41615689
Placer,2007,49480035,27663695,0
Plumas,2007,6364509,3049018,953050
Riverside,2007,296604555,120431365,24555592
Sacramento,2007,220250701,46225012,23623610
San Benito,2007,5190539,3192646,853955
San Bernardino,2007,256031670,129467081,22017512
San Diego,2007,250188676,214385289,44328928
San Joaquin,2007,51194918,61244430,10506031
San Luis Obispo,2007,29172858,25889871,5988817
San Mateo,2007,77047693,91304189,15597465
Santa Barbara,2007,54333545,59076278,10965294
Santa Clara,2007,105519509,218474504,43350256
