Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Butte,2015,15166846,44290158,5219293
Calaveras,2015,8219398,4967475,896882
Colusa,2015,5555916,5198962,388835
Contra Costa,2015,112089598,145537732,9563973
Del Norte,2015,3448020,6061763,578658
El Dorado,2015,34260455,16302987,3067053
Fresno,2015,89331286,113508661,18010209
Glenn,2015,5347524,6259115,851055
Humboldt,2015,15289676,31446465,2013278
Imperial,2015,21284020,43926809,2272399
Inyo,2015,6259877,4338184,506136
Kern,2015,113785120,91254913,13341460
Kings,2015,13078064,15038122,1859249
Lake,2015,10270593,10655689,1884235
Lassen,2015,4544699,6694598,702562
Los Angeles,2015,1997046414,1681695118,162768918
Madera,2015,14712987,14406887,1497615
Marin,2015,28783781,42823903,5992203
Mariposa,2015,5577752,3596923,631438
Mendocino,2015,14417160,21181028,1307707
Merced,2015,19683706,33594342,4040898
Modoc,2015,2543876,2863489,824869
Mono,2015,4957083,1657182,500449
Monterey,2015,40328990,74202488,4446432
Napa,2015,27409847,25489323,5420235
Nevada,2015,14726658,18568124,1430767
Orange,2015,368247494,253464777,23677950
Placer,2015,61964200,40579960,0
Plumas,2015,6230304,5619018,561237
Riverside,2015,390354613,262466580,21892043
Sacramento,2015,209282671,164009012,24283934
San Benito,2015,6074087,5416049,1186945
San Bernardino,2015,331233248,250691173,0
San Diego,2015,360129158,312003622,52220808
San Joaquin,2015,66701482,91261669,16353500
San Luis Obispo,2015,29354697,39973748,9581922
San Mateo,2015,111969760,131318565,16544575
Santa Barbara,2015,72788140,80526265,11822747
Santa Clara,2015,134156247,329865874,47693670
Santa Cruz,2015,31430274,61617550,7220147
Shasta,2015,20500552,29107107,3867517
Sierra,2015,2742755,1388483,238847
Siskiyou,2015,8198197,7509483,779290
Solano,2015,74505644,54450520,5716655
Sonoma,2015,74126570,62767355,12575425
Stanislaus,2015,47198532,72295785,8794886
Sutter,2015,8505048,29831892,0
Tehama,2015,8042164,9791349,1906738
Trinity,2015,3388338,3774660,573998
Tulare,2015,40247455,53637580,9456902
Tuolumne,2015,19908164,7861840,0
Ventura,2015,157201533,49100661,19605129
Yolo,2015,11789160,20582977,1885025
Yuba,2015,13311724,0,12445
Alameda,2016,149938997,317028073,41262411
Alpine,2016,2927335,1647221,397268
Amador,2016,8838229,6531521,515865
Butte,2016,18236886,46709492,5770194
Calaveras,2016,8138462,6368633,825243
Colusa,2016,5448377,5344094,406906
Contra Costa,2016,108208162,148757179,9866233
Del Norte,2016,3766430,8037655,625811
El Dorado,2016,35260978,16342047,3901752
Fresno,2016,77758100,119038802,29377534
Glenn,2016,5409447,7193033,972372
Humboldt,2016,18416001,32525167,2184356
Imperial,2016,22182002,46056164,2359301
Inyo,2016,6447952,4591940,529119
Kern,2016,144393735,99802467,15184347
Kings,2016,13265742,16264431,1644367
Lake,2016,12142220,10230923,2081910
Lassen,2016,4788766,7713802,716648
Los Angeles,2016,2092883807,1798959997,164537234
Madera,2016,16505772,15435019,1138434
Marin,2016,29925747,49298880,7211237
Mariposa,2016,5756552,4651502,645911
Mendocino,2016,15407806,20144372,1419828
Merced,2016,20961219,36953281,4315329
Modoc,2016,2158744,2840177,810423
Mono,2016,5009701,1763722,513551
Monterey,2016,39961348,87159124,4972073
Napa,2016,29010384,25617180,4574439
Nevada,2016,15987503,19077438,1568570
Orange,2016,385600393,261559089,26226944
Placer,2016,68927708,42239635,0
Plumas,2016,6443313,5881586,509252
Riverside,2016,441221262,265866551,24808356
Sacramento,2016,236193116,115538922,25974476
San Benito,2016,6663845,5699933,1285377
San Bernardino,2016,353157620,245135590,11577788
San Diego,2016,359408442,324823785,55734759
San Joaquin,2016,69616403,93121590,17831752
San Luis Obispo,2016,33891742,44863937,11692229
San Mateo,2016,129420405,142484684,19976293
Santa Barbara,2016,72202279,81677298,11401874
Santa Clara,2016,145417165,364605746,52313789
Santa Cruz,2016,34286129,57522525,7839494
Shasta,2016,21943529,27683688,3114954
Sierra,2016,2951094,1565114,228513
Siskiyou,2016,8362558,7965459,745868
Solano,2016,80636024,61209971,5764037
Sonoma,2016,78372406,69784436,11079459
Stanislaus,2016,54030063,80079445,9690648
Sutter,2016,8834636,29107079,0
Tehama,2016,8493430,11088024,1739660
Trinity,2016,3909192,4512253,723016
Tulare,2016,42771295,50681028,9208602
Tuolumne,2016,13860322,8460046,0
Ventura,2016,166128659,60422765,21178495
Yolo,2016,13403002,24144132,1886067
Yuba,2016,14467457,0,10647
Alameda,2017,131273889,349858016,34243355
Alpine,2017,3004556,1742850,347471
Amador,2017,8999250,7003177,508222
Butte,2017,17772181,54470633,6995960
Calaveras,2017,8896076,8326225,1062998
Colusa,2017,5517704,5473500,499270
Contra Costa,2017,148292860,150078794,11557078
Del Norte,2017,3656555,8389182,633926
El Dorado,2017,35436007,17106033,3361321
Fresno,2017,188012000,NULL,NULL
Glenn,2017,5589626,8044619,968475
Humboldt,2017,16277810,32288300,2081746
Imperial,2017,23401326,59073262,3401260
Inyo,2017,7149909,4631617,583607
Kern,2017,105656922,112982545,16905716
Kings,2017,15490474,19076681,1859201
Lake,2017,11461846,10541300,2019739
Lassen,2017,5551831,8000508,824522
Los Angeles,2017,2106697185,1748866028,184672927
Madera,2017,16741572,18395723,1211981
Marin,2017,38314166,50859896,8526955
Mariposa,2017,6117419,5686756,450367
Mendocino,2017,15392143,22456422,2096274
Merced,2017,26366409,44753099,NULL
Modoc,2017,2291988,3039395,753455
Mono,2017,6377947,1781880,501421
Monterey,2017,44285182,91817233,5532583
Napa,2017,30702351,25594754,4485708
Nevada,2017,17640522,20416451,1445866
Orange,2017,422859234,292421970,26306567
Placer,2017,70279472,45447074,NULL
Plumas,2017,6575872,7762147,463315
Riverside,2017,448575944,283156003,37667091
Sacramento,2017,301785000,223639000,31432000
San Benito,2017,6334201,5245987,1162475
San Bernardino,2017,360864325,279245676,14106751
San Diego,2017,373344412,368299766,59315717
San Joaquin,2017,73129772,101914728,18627179
San Luis Obispo,2017,35114234,50383744,11621064
San Mateo,2017,133929951,153667418,21706113
Santa Barbara,2017,75226214,85878771,12031378
Santa Clara,2017,162099942,428651793,NULL
Santa Cruz,2017,36481866,57741934,8124857
Shasta,2017,22881835,31980058,3281289
Sierra,2017,2962335,1880001,247486
Siskiyou,2017,8088033,9113498,1483800
Solano,2017,86488367,69051264,5258384
Sonoma,2017,84069011,66682858,10625639
Stanislaus,2017,54488244,91926616,10801413
Sutter,2017,17787734,32517225,522889
Tehama,2017,9249862,11196958,1647442
Trinity,2017,3837247,4893494,856416
Tulare,2017,44952206,49908459,10258973
Tuolumne,2017,14401180,8863405,NULL
Ventura,2017,167615812,58160419,22870488
Yolo,2017,12824122,28356943,1835271
Yuba,2017,13156645,NULL,NULL
Alameda,2018,138201018,348740964,45287864
Alpine,2018,3042870,2058250,244990
Amador,2018,9807134,6831749,528517
Butte,2018,21209986,60922752,6383167
Calaveras,2018,9355713,8867676,1035656
Colusa,2018,5944928,5504283,437350
Contra Costa,2018,164551302,164159201,13157544
Del Norte,2018,3713364,8152906,665621
El Dorado,2018,40677657,18996426,3376823
Fresno,2018,198202000,NULL,NULL
Glenn,2018,6973701,8920092,1009604
Humboldt,2018,20990104,40446869,1979638
Imperial,2018,22844622,62821515,2491300
Inyo,2018,7017864,5282187,668464
Kern,2018,108877835,135232784,15659109
Kings,2018,14223666,19015372,3136070
Lake,2018,11260005,10796199,1901152
Lassen,2018,5284280,8250335,791390
Los Angeles,2018,1953642847,2150248257,248514435
Madera,2018,18514741,19931383,1184262
Marin,2018,39385629,56063897,10081775
Mariposa,2018,6797884,7002762,636152
Mendocino,2018,16499918,29626826,1917280
Merced,2018,28178199,48885874,NULL
Modoc,2018,2435722,3153005,644975
Mono,2018,7138339,2134557,567277
Monterey,2018,44837109,101253098,5403721
Napa,2018,33382116,28808820,4569932
Nevada,2018,15578759,20232603,1630456
Orange,2018,455391416,351487095,27503653
Placer,2018,76006179,49304060,NULL
Plumas,2018,6713447,9331101,414235
Riverside,2018,434134635,322629190,49388419
Sacramento,2018,309390000,232065000,39860000
San Benito,2018,7080168,5533295,1298603
San Bernardino,2018,382907721,307722312,17339121
San Diego,2018,454154947,451717981,91192547
San Joaquin,2018,76963664,108951633,19220812
San Luis Obispo,2018,38751392,55786245,13007918
San Mateo,2018,141494790,168369961,25830438
Santa Barbara,2018,85515545,85803302,12064109
Santa Clara,2018,170368891,462254495,NULL
Santa Cruz,2018,38260599,59656563,11808497
Shasta,2018,21314335,36975678,5082339
Sierra,2018,2677974,2047267,285729
Siskiyou,2018,8865799,9990578,1006806
Solano,2018,89077321,70520616,5694513
Sonoma,2018,87728146,73846486,12031906
Stanislaus,2018,57181030,97328729,12230035
Sutter,2018,17290826,36503449,4935
Tehama,2018,9095763,11971019,1710406
Trinity,2018,3783571,5508544,758533
Tulare,2018,48548055,52874083,10555219
Tuolumne,2018,14190834,10155250,NULL
Ventura,2018,172560234,64833475,21959141
Yolo,2018,13647988,28861699,1940678
Yuba,2018,13773939,NULL,NULL
Alameda,2019,173093190,394644357,40918435
Alpine,2019,3263511,3614398,286261
Amador,2019,10135122,6068128,722101
Butte,2019,26180887,64085249,7197735
Calaveras,2019,10647359,7981340,1163588
Colusa,2019,6964351,6092257,417120
Contra Costa,2019,171677817,184922539,20117053
Del Norte,2019,3872792,9657530,599048
El Dorado,2019,41591377,23745267,3527323
Fresno,2019,234462000,NULL,NULL
Glenn,2019,7823759,9638169,1463899
Humboldt,2019,19902712,46463028,1905660
Imperial,2019,24267791,57921025,5692476
Inyo,2019,7305887,5472446,721531
Kern,2019,119211758,164169449,25078739
Kings,2019,16062765,23256928,4016978
Lake,2019,11895513,11857611,2589301
Lassen,2019,5801967,7989616,854806
Los Angeles,2019,2111488987,2302347333,284646479
Madera,2019,21905331,21794699,2144583
Marin,2019,40048985,60719999,9080140
Mariposa,2019,7112826,8368397,675690
Mendocino,2019,16861921,30902983,1976905
Merced,2019,29349071,54109133,NULL
Modoc,2019,2575903,3696362,520108
Mono,2019,7471883,3156378,396738
Monterey,2019,47288640,113826084,7169324
Napa,2019,35331674,27125349,4433817
Nevada,2019,17474711,21024693,2469946
Orange,2019,472438253,368455884,34160224
Placer,2019,81542937,60993234,NULL
Plumas,2019,7581897,7888749,303964
Riverside,2019,455986252,323453280,57434416
Sacramento,2019,345160000,260270000,34860000
San Benito,2019,7049789,7228012,1363275
San Bernardino,2019,391151711,360714934,24762628
San Diego,2019,516880181,423900902,125955946
San Joaquin,2019,84206570,114905349,22174395
San Luis Obispo,2019,38526526,57914708,15650350
San Mateo,2019,156198297,172060037,26555824
Santa Barbara,2019,81059152,88685719,13739901
Santa Clara,2019,172277737,517188819,NULL
Santa Cruz,2019,42642706,63106679,12721121
Shasta,2019,21586171,41259994,5047210
Sierra,2019,2726937,2217758,218146
Siskiyou,2019,8788519,10442735,947763
Solano,2019,93703621,77200796,8769827
Sonoma,2019,87881527,76145145,11901003
Stanislaus,2019,60173031,104899073,14227751
Sutter,2019,21108415,43383922,1482
Tehama,2019,8977883,11479051,2047878
Trinity,2019,4138443,4714154,745007
Tulare,2019,53307829,61863607,11967886
Tuolumne,2019,14469092,9867872,NULL
Ventura,2019,178854389,72307069,26636931
Yolo,2019,15561581,34969944,4271340
Yuba,2019,14716864,NULL,NULL
