,County,Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total,Population,Police Spending Per Capita,Mental Health Spending Per Capita,Drug and Alcohol Abuse Services Spending Per Capita
120,San Diego,2005,209139098,216164846.0,52692212.0,2966783.0,70.49356087047822,72.86169767050708,17.760723315456506
121,San Joaquin,2005,40811791,47516861.0,13981342.0,645059.0,63.26830724011292,73.66281378912626,21.674516594606075
122,San Luis Obispo,2005,22537650,22670261.0,4217347.0,259213.0,86.94644944505099,87.45804029890476,16.269812856608272
123,San Mateo,2005,59882313,79192945.0,13549641.0,700350.0,85.50340972370958,113.07624045120296,19.34695652173913
124,Santa Barbara,2005,48625885,47135781.0,9865437.0,411440.0,118.18463202411044,114.56295207077581,23.977826657592846
125,Santa Cruz,2005,20755329,37908603.0,6428473.0,254783.0,81.46277027902175,148.78780373886798,25.23116926953525
126,Shasta,2005,16979868,19226663.0,3777024.0,173862.0,97.66290506263589,110.58576917325234,21.724264071504987
127,Siskiyou,2005,8927350,9198238.0,852808.0,44865.0,198.9825030647498,205.020349938705,19.00831383038003
128,Solano,2005,47758693,38524705.0,5183775.0,410985.0,116.205440587856,93.73749650230543,12.613051571225228
129,Sonoma,2005,49278344,39436489.0,15476813.0,469734.0,104.90691327432121,83.95493832679772,32.94803654834438
130,Stanislaus,2005,36490435,50952365.0,5384446.0,494144.0,73.84575144087553,103.11238222056728,10.896511947934206
131,Tehama,2005,5903546,5685419.0,1451259.0,59976.0,98.43180605575563,94.79490129385087,24.197328931572628
132,Trinity,2005,2273188,2044515.0,892907.0,13654.0,166.48513256188662,149.7374395781456,65.39526878570382
133,Tulare,2005,30816113,36216327.0,8534292.0,404148.0,76.24957441333373,89.61154577036135,21.11674930965884
134,Ventura,2005,104381340,42613642.0,14923024.0,795962.0,131.13859706870429,53.537281930544424,18.748412612662413
135,Alameda,2006,81348525,188246300.0,22671064.0,1462371.0,55.62782973677678,128.72677316494924,15.502949661884706
136,Alpine,2006,1824346,225219.0,392358.0,1232.0,1480.8003246753246,182.80762987012986,318.4724025974026
137,Amador,2006,7216485,2326993.0,1138366.0,37843.0,190.69537298839944,61.49071162434268,30.081283196363923
138,Butte,2006,13132496,32159189.0,3723555.0,214690.0,61.16957473566538,149.79360473240487,17.343867902557175
139,Calaveras,2006,7510083,2436065.0,1112014.0,45044.0,166.72771068288785,54.08189770002664,24.687283544978243
140,Colusa,2006,3958466,1686608.0,768790.0,20729.0,190.96270924791355,81.3646582083072,37.08765497612041
141,Contra Costa,2006,85671379,98072121.0,16005443.0,1007169.0,85.06157258613004,97.37404646092165,15.891516716658277
142,Del Norte,2006,3007230,3649129.0,714028.0,28296.0,106.2775657336726,128.9627155781736,25.234238054848742
143,El Dorado,2006,26915121,10711577.0,2670054.0,174218.0,154.49104570136265,61.48375598388226,15.325936470399155
144,Glenn,2006,4540145,5673499.0,1336457.0,27628.0,164.3312943390763,205.35322860865787,48.373280729694514
145,Humboldt,2006,10458033,24959538.0,2508299.0,131958.0,79.25273950802529,189.14759241576866,19.008313251185985
146,Imperial,2006,15577722,14704715.0,2165164.0,160088.0,97.30724351606617,91.85394907800709,13.524836340012993
147,Inyo,2006,4346932,2450007.0,705794.0,18442.0,235.7082745906084,132.84931135451686,38.271011820843725
148,Kern,2006,68049778,72924946.0,12653368.0,774062.0,87.91256772713297,94.21072988985378,16.346711245352438
149,Kings,2006,11522384,8840646.0,1965999.0,146045.0,78.89612105857783,60.53371221198945,13.461597452839879
150,Lake,2006,9382078,8225610.0,3046563.0,63449.0,147.86801998455454,129.6412867027061,48.01593405727434
151,Lassen,2006,3166718,3560738.0,1501054.0,34769.0,91.07877707152923,102.41128591561449,43.17219362075412
152,Los Angeles,2006,1183067562,1036582033.0,177132081.0,9798609.0,120.73831724482525,105.78869235419027,18.077268008142788
153,Madera,2006,9414271,8245767.0,1641507.0,141693.0,66.4413273767935,58.19459676907116,11.5849547966378
154,Marin,2006,20801838,27124322.0,6594682.0,246969.0,84.22853880446534,109.82885301394101,26.70246873089335
155,Mariposa,2006,4068260,1469748.0,875849.0,18150.0,224.1465564738292,80.97785123966942,48.25614325068871
