County,Year,Population
Humboldt,1974,105180
Imperial,1974,79810
Inyo,1974,16990
Kern,1974,348100
Kings,1974,68425
Lake,1974,24280
Lassen,1974,17775
Los Angeles,1974,7101995
Madera,1974,46340
Marin,1974,214390
Mariposa,1974,7750
Mendocino,1974,56470
Merced,1974,115115
Modoc,1974,7900
Mono,1974,6750
Monterey,1974,261730
Napa,1974,87560
Nevada,1974,31380
Orange,1974,1636525
Placer,1974,87205
Plumas,1974,13640
Riverside,1974,511880
Sacramento,1974,678630
San Benito,1974,20255
San Bernardino,1974,691240
San Diego,1974,1500750
San Francisco,1974,702200
San Joaquin,1974,297290
San Luis Obispo,1974,123850
San Mateo,1974,570520
Santa Barbara,1974,277615
Santa Clara,1974,1151345
Santa Cruz,1974,148450
Shasta,1974,88550
Sierra,1974,2750
Siskiyou,1974,34895
Solano,1974,183275
Sonoma,1974,239075
Stanislaus,1974,216460
Sutter,1974,45070
Tehama,1974,31625
Trinity,1974,9150
Tulare,1974,207635
Tuolumne,1974,24940
Ventura,1974,423350
Yolo,1974,97780
Yuba,1974,44310
Alameda,1975,1102810
Alpine,1975,750
Amador,1975,15130
Butte,1975,119395
Calaveras,1975,15450
Colusa,1975,12715
Contra Costa,1975,583370
Del Norte,1975,16090
El Dorado,1975,57725
Fresno,1975,446330
Glenn,1975,19210
Humboldt,1975,106290
Imperial,1975,82240
Inyo,1975,17270
Kern,1975,355895
Kings,1975,68725
Lake,1975,25480
Lassen,1975,18675
Los Angeles,1975,7153300
Madera,1975,48100
Marin,1975,216985
Mariposa,1975,8125
Mendocino,1975,57650
Merced,1975,118240
Modoc,1975,7935
Mono,1975,7100
Monterey,1975,268020
Napa,1975,89800
Nevada,1975,33190
Orange,1975,1691600
Placer,1975,90135
Plumas,1975,13910
Riverside,1975,527110
Sacramento,1975,687355
San Benito,1975,20980
San Bernardino,1975,694160
San Diego,1975,1560820
San Francisco,1975,697100
San Joaquin,1975,299300
San Luis Obispo,1975,129100
San Mateo,1975,578165
Santa Barbara,1975,280260
Santa Clara,1975,1170700
Santa Cruz,1975,153500
Shasta,1975,91400
Sierra,1975,2800
Siskiyou,1975,35285
Solano,1975,185740
Sonoma,1975,245475
Stanislaus,1975,222200
Sutter,1975,45940
Tehama,1975,32870
Trinity,1975,9600
Tulare,1975,213375
Tuolumne,1975,25950
Ventura,1975,434800
Yolo,1975,100310
Yuba,1975,44480
Alameda,1976,1107350
Alpine,1976,800
Amador,1976,15280
Butte,1976,122880
Calaveras,1976,15750
Colusa,1976,12900
Contra Costa,1976,594450
Del Norte,1976,16260
El Dorado,1976,60750
Fresno,1976,462405
Glenn,1976,19590
Humboldt,1976,106150
Imperial,1976,84070
Inyo,1976,17720
Kern,1976,363020
Kings,1976,70075
Lake,1976,27080
Lassen,1976,18525
Los Angeles,1976,7218755
Madera,1976,49370
Marin,1976,220330
Mariposa,1976,8575
Mendocino,1976,58670
Merced,1976,120315
Modoc,1976,7905
Mono,1976,7200
Monterey,1976,271280
Napa,1976,91830
Nevada,1976,35510
Orange,1976,1733975
Placer,1976,93190
Plumas,1976,14220
Riverside,1976,542935
Sacramento,1976,700545
San Benito,1976,21740
San Bernardino,1976,713490
San Diego,1976,1626810
San Francisco,1976,691300
San Joaquin,1976,302170
San Luis Obispo,1976,132650
San Mateo,1976,580945
Santa Barbara,1976,285810
Santa Clara,1976,1197880
Santa Cruz,1976,161000
Shasta,1976,93675
Sierra,1976,2910
Siskiyou,1976,35500
Solano,1976,191735
Sonoma,1976,252115
Stanislaus,1976,228980
Sutter,1976,47220
Tehama,1976,33050
Trinity,1976,10050
Tulare,1976,218435
Tuolumne,1976,26540
Ventura,1976,449500
Yolo,1976,104100
Yuba,1976,46010
Alameda,1977,1106020
Alpine,1977,850
Amador,1977,15790
Butte,1977,127545
Calaveras,1977,16490
Colusa,1977,12955
Contra Costa,1977,610230
Del Norte,1977,16530
El Dorado,1977,64850
Fresno,1977,478980
Glenn,1977,20040
Humboldt,1977,106245
Imperial,1977,85690
Inyo,1977,17850
Kern,1977,368775
Kings,1977,71500
Lake,1977,29000
Lassen,1977,18975
Los Angeles,1977,7230640
Madera,1977,51700
Marin,1977,222660
Mariposa,1977,9025
Mendocino,1977,60280
Merced,1977,123785
Modoc,1977,8075
Mono,1977,7300
Monterey,1977,274775
Napa,1977,94120
Nevada,1977,38610
Orange,1977,1781225
Placer,1977,97975
Plumas,1977,14700
Riverside,1977,565040
Sacramento,1977,718330
San Benito,1977,22540
San Bernardino,1977,746340
San Diego,1977,1686430
San Francisco,1977,686700
San Joaquin,1977,310750
San Luis Obispo,1977,137350
San Mateo,1977,581460
Santa Barbara,1977,289535
Santa Clara,1977,1223705
Santa Cruz,1977,169650
Shasta,1977,97925
Sierra,1977,3000
Siskiyou,1977,36125
Solano,1977,199215
Sonoma,1977,264565
Stanislaus,1977,239090
Sutter,1977,48550
Tehama,1977,33925
Trinity,1977,10500
Tulare,1977,223900
Tuolumne,1977,27870
Ventura,1977,467925
Yolo,1977,107410
Yuba,1977,46925
Alameda,1978,1109850
Alpine,1978,950
Amador,1978,16870
Butte,1978,132415
Calaveras,1978,17860
Colusa,1978,12910
Contra Costa,1978,625340
Del Norte,1978,17210
El Dorado,1978,70850
Fresno,1978,490530
Glenn,1978,20240
Humboldt,1978,107145
Imperial,1978,87570
Inyo,1978,17910
Kern,1978,378785
Kings,1978,72675
Lake,1978,31140
Lassen,1978,19425
Los Angeles,1978,7255960
Madera,1978,54810
Marin,1978,223680
Mariposa,1978,9550
Mendocino,1978,62260
Merced,1978,127245
Modoc,1978,8210
Mono,1978,7500
Monterey,1978,279110
Napa,1978,96280
Nevada,1978,42435
Orange,1978,1833300
Placer,1978,104040
Plumas,1978,15400
Riverside,1978,595325
Sacramento,1978,735920
San Benito,1978,23420
