County,Year,Population
Shasta,2007,175546
Sierra,2007,3384
Siskiyou,2007,44877
Solano,2007,411998
Sonoma,2007,471479
Stanislaus,2007,505959
Sutter,2007,91563
Tehama,2007,61777
Trinity,2007,13806
Tulare,2007,419842
Tuolumne,2007,56347
Ventura,2007,803572
Yolo,2007,192826
Yuba,2007,69719
Alameda,2008,1484085
Alpine,2008,1228
Amador,2008,37975
Butte,2008,217801
Calaveras,2008,45670
Colusa,2008,21145
Contra Costa,2008,1027264
Del Norte,2008,28526
El Dorado,2008,177897
Fresno,2008,906521
Glenn,2008,28066
Humboldt,2008,132931
Imperial,2008,168495
Inyo,2008,18416
Kern,2008,812830
Kings,2008,151106
Lake,2008,64178
Lassen,2008,35437
Los Angeles,2008,9785474
Madera,2008,147958
Marin,2008,249546
Mariposa,2008,18381
Mendocino,2008,87715
Merced,2008,250734
Modoc,2008,9607
Mono,2008,14143
Monterey,2008,409387
Napa,2008,133969
Nevada,2008,98581
Orange,2008,2990648
Placer,2008,333805
Plumas,2008,20483
Riverside,2008,2102741
Sacramento,2008,1394510
San Benito,2008,55022
San Bernardino,2008,2009594
San Diego,2008,3032689
San Francisco,2008,795002
San Joaquin,2008,672492
San Luis Obispo,2008,265505
San Mateo,2008,707820
Santa Barbara,2008,418309
Santa Clara,2008,1747912
Santa Cruz,2008,258737
Shasta,2008,176240
Sierra,2008,3314
Siskiyou,2008,44952
Solano,2008,412908
Sonoma,2008,474819
Stanislaus,2008,509389
Sutter,2008,92983
Tehama,2008,62365
Trinity,2008,13759
Tulare,2008,427531
Tuolumne,2008,56098
Ventura,2008,808970
Yolo,2008,196219
Yuba,2008,70820
Alameda,2009,1497799
Alpine,2009,1194
Amador,2009,37884
Butte,2009,218887
Calaveras,2009,45632
Colusa,2009,21221
Contra Costa,2009,1038390
Del Norte,2009,28565
El Dorado,2009,179150
Fresno,2009,918560
Glenn,2009,28088
Humboldt,2009,133484
Imperial,2009,171670
Inyo,2009,18416
Kern,2009,825503
Kings,2009,151816
Lake,2009,64384
Lassen,2009,34947
Los Angeles,2009,9801096
Madera,2009,149632
Marin,2009,250760
Mariposa,2009,18334
Mendocino,2009,87677
Merced,2009,253026
Modoc,2009,9628
Mono,2009,14074
Monterey,2009,412233
Napa,2009,135225
Nevada,2009,98558
Orange,2009,3006995
Placer,2009,340995
Plumas,2009,20216
Riverside,2009,2140626
Sacramento,2009,1406168
San Benito,2009,55068
San Bernardino,2009,2019432
San Diego,2009,3064436
San Francisco,2009,800239
San Joaquin,2009,677833
San Luis Obispo,2009,267537
San Mateo,2009,713818
Santa Barbara,2009,421197
Santa Clara,2009,1767204
Santa Cruz,2009,260892
Shasta,2009,176756
Sierra,2009,3264
Siskiyou,2009,44996
Solano,2009,412832
Sonoma,2009,478622
Stanislaus,2009,511226
Sutter,2009,93918
Tehama,2009,62921
Trinity,2009,13750
Tulare,2009,434933
Tuolumne,2009,55661
Ventura,2009,815284
Yolo,2009,198642
Yuba,2009,71609
Alameda,2010,1509240
Alpine,2010,1178
Amador,2010,38011
Butte,2010,219967
Calaveras,2010,45602
Colusa,2010,21380
Contra Costa,2010,1047948
Del Norte,2010,28581
El Dorado,2010,180682
Fresno,2010,929758
Glenn,2010,28120
Humboldt,2010,134353
Imperial,2010,174244
Inyo,2010,18525
Kern,2010,837074
Kings,2010,152717
Lake,2010,64580
Lassen,2010,34794
Los Angeles,2010,9822121
Madera,2010,150749
Marin,2010,252279
Mariposa,2010,18277
Mendocino,2010,87807
Merced,2010,255399
Modoc,2010,9666
Mono,2010,14160
Monterey,2010,415108
Napa,2010,136316
Nevada,2010,98682
Orange,2010,3025097
Placer,2010,347133
Plumas,2010,20045
Riverside,2010,2179692
Sacramento,2010,1417259
San Benito,2010,55272
San Bernardino,2010,2033141
San Diego,2010,3091579
San Francisco,2010,804989
San Joaquin,2010,684057
San Luis Obispo,2010,269333
San Mateo,2010,718614
Santa Barbara,2010,423740
Santa Clara,2010,1781427
Santa Cruz,2010,262552
Shasta,2010,177248
Sierra,2010,3247
Siskiyou,2010,44962
Solano,2010,413268
Sonoma,2010,482961
Stanislaus,2010,514003
Sutter,2010,94765
Tehama,2010,63418
Trinity,2010,13811
Tulare,2010,441245
Tuolumne,2010,55291
Ventura,2010,822108
Yolo,2010,200484
Yuba,2010,72083
Alameda,2011,1525457
Alpine,2011,1169
Amador,2011,37716
Butte,2011,220711
Calaveras,2011,45540
Colusa,2011,21520
Contra Costa,2011,1059557
Del Norte,2011,28363
El Dorado,2011,181227
Fresno,2011,938164
Glenn,2011,28234
Humboldt,2011,135691
Imperial,2011,176355
Inyo,2011,18550
Kern,2011,845564
Kings,2011,151336
Lake,2011,64821
Lassen,2011,34653
Los Angeles,2011,9871802
Madera,2011,151185
Marin,2011,254091
Mariposa,2011,18251
Mendocino,2011,87442
Merced,2011,258788
Modoc,2011,9718
Mono,2011,14277
Monterey,2011,417892
Napa,2011,136901
Nevada,2011,98429
Orange,2011,3034764
Placer,2011,353263
Plumas,2011,19991
Riverside,2011,2212675
Sacramento,2011,1429290
San Benito,2011,55661
San Bernardino,2011,2054451
San Diego,2011,3119963
San Francisco,2011,815365
San Joaquin,2011,691689
San Luis Obispo,2011,270024
San Mateo,2011,726326
Santa Barbara,2011,424400
Santa Clara,2011,1803329
Santa Cruz,2011,264802
Shasta,2011,177603
Sierra,2011,3241
Siskiyou,2011,44964
Solano,2011,413527
Sonoma,2011,485538
Stanislaus,2011,517628
Sutter,2011,95111
Tehama,2011,63529
Trinity,2011,13751
Tulare,2011,445549
Tuolumne,2011,55259
Ventura,2011,829563
Yolo,2011,202736
Yuba,2011,72532
Alameda,2012,1543365
Alpine,2012,1166
Amador,2012,37651
Butte,2012,221100
Calaveras,2012,45496
Colusa,2012,21619
Contra Costa,2012,1070440
Del Norte,2012,28211
El Dorado,2012,181187
Fresno,2012,947416
Glenn,2012,28312
Humboldt,2012,135336
Imperial,2012,178933
Inyo,2012,18543
Kern,2012,853807
Kings,2012,151383
Lake,2012,64729
Lassen,2012,33893
Los Angeles,2012,9949794
Madera,2012,151379
Marin,2012,255992
Mariposa,2012,18249
Mendocino,2012,87654
Merced,2012,262100
Modoc,2012,9659
Mono,2012,14256
Monterey,2012,423072
Napa,2012,138120
Nevada,2012,98130
Orange,2012,3068570
Placer,2012,358371
Plumas,2012,19971
Riverside,2012,2240166
Sacramento,2012,1440656
San Benito,2012,55775
San Bernardino,2012,2070638
San Diego,2012,3153521
San Francisco,2012,825465
San Joaquin,2012,698555
San Luis Obispo,2012,271504
San Mateo,2012,735206
Santa Barbara,2012,428194
Santa Clara,2012,1828843
Santa Cruz,2012,267234
Shasta,2012,177591
Sierra,2012,3233
Siskiyou,2012,44841
Solano,2012,416133
Sonoma,2012,487954
Stanislaus,2012,521675
Sutter,2012,95113
Tehama,2012,63590
Trinity,2012,13740
Tulare,2012,450599
Tuolumne,2012,54991
Ventura,2012,834487
Yolo,2012,204487
Yuba,2012,72882
Alameda,2013,1567167
Alpine,2013,1164
Amador,2013,37304
Butte,2013,222185
Calaveras,2013,45424
Colusa,2013,21698
Contra Costa,2013,1083937
Del Norte,2013,27792
El Dorado,2013,180729
Fresno,2013,955945
Glenn,2013,28424
Humboldt,2013,135021
Imperial,2013,180179
Inyo,2013,18557
Kern,2013,863724
Kings,2013,150498
Lake,2013,64763
Lassen,2013,32795
Los Angeles,2013,10020599
Madera,2013,151338
Marin,2013,257522
Mariposa,2013,18195
Mendocino,2013,88206
Merced,2013,264387
Modoc,2013,9646
Mono,2013,14031
Monterey,2013,427147
Napa,2013,138838
Nevada,2013,97773
Orange,2013,3102152
Placer,2013,362305
Plumas,2013,19920
Riverside,2013,2265789
Sacramento,2013,1452468
San Benito,2013,55998
San Bernardino,2013,2085944
San Diego,2013,3193688
San Francisco,2013,839674
San Joaquin,2013,704739
San Luis Obispo,2013,273304
San Mateo,2013,745799
Santa Barbara,2013,433073
Santa Clara,2013,1857211
Santa Cruz,2013,269192
